sector,classe,pressure_avg,pressure_min,pressure_max,pressure_std,pressure_in,pressure_out,delta_p,ilp,volume_loss
SEC_007,SUSPECT,3.232,2.596,3.62,0.269,3.708,2.818,0.89,6.255,0.1259
SEC_012,FUITE,2.444,1.761,2.775,0.35,4.308,0.823,3.484,19.443,0.3451
SEC_016,NORMAL,3.506,3.04,3.98,0.088,3.741,3.348,0.393,2.726,0.0702
SEC_002,SUSPECT,3.373,2.481,3.839,0.238,3.703,3.169,0.534,8.308,0.0834
SEC_006,NORMAL,3.411,2.89,3.806,0.134,3.498,3.318,0.18,3.211,0.0749
SEC_008,SUSPECT,3.855,3.093,4.307,0.299,4.394,3.4,0.994,8.193,0.1765
SEC_007,NORMAL,3.148,2.706,3.765,0.051,3.227,3.148,0.08,4.755,0.0653
SEC_009,NORMAL,3.545,3.029,4.039,0.083,3.561,3.536,0.025,2.856,0.0328
SEC_005,FUITE,2.724,1.809,3.063,0.456,3.693,1.681,2.012,10.652,0.3719
SEC_017,NORMAL,3.467,2.951,3.846,0.101,3.659,3.296,0.363,2.118,0.0387
SEC_002,NORMAL,3.362,2.981,3.715,0.096,3.422,3.334,0.087,3.3,0.0718
SEC_001,NORMAL,3.429,2.996,3.874,0.093,3.612,3.285,0.327,5.217,0.0105
SEC_012,NORMAL,3.375,3.029,3.912,0.106,3.484,3.323,0.162,1.097,0.0278
SEC_017,NORMAL,3.467,3.101,4.096,0.148,3.674,3.509,0.164,1.609,0.0342
SEC_006,NORMAL,3.766,3.239,4.189,0.074,3.874,3.583,0.291,2.542,0.0543
SEC_003,NORMAL,3.341,2.893,3.739,0.118,3.39,3.383,0.007,4.025,0.0259
SEC_018,SUSPECT,3.494,2.863,4.144,0.192,3.949,2.953,0.996,8.27,0.1029
SEC_001,NORMAL,3.555,3.119,4.042,0.14,3.704,3.344,0.36,4.531,0.0337
SEC_011,FUITE,2.816,1.762,3.083,0.611,3.884,1.639,2.245,23.238,0.4429
SEC_009,NORMAL,3.36,2.816,3.856,0.052,3.438,3.241,0.198,1.328,0.0357
SEC_019,NORMAL,3.533,3.203,4.101,0.148,3.705,3.511,0.195,5.786,0.0404
SEC_016,NORMAL,3.573,2.993,4.153,0.052,3.708,3.45,0.258,2.108,0.0758
SEC_003,FUITE,2.389,1.337,2.951,0.436,3.431,1.395,2.037,17.47,0.2806
